cod	sex	age	pop1	year1	pop2	year2	death
1101	f	0	4661	1991	5515	2000	136.28
1101	f	1	18632	1991	21975	2000	28.48
1101	f	5	22693	1991	27266	2000	9.74
1101	f	10	21225	1991	27614	2000	12.59
1101	f	15	18903	1991	26532	2000	17.59
1101	f	20	17601	1991	24118	2000	18.98
1101	f	25	16046	1991	21070	2000	18.97
1101	f	30	13005	1991	19030	2000	22.34
1101	f	35	9971	1991	16447	2000	26.80
1101	f	40	6845	1991	12890	2000	24.30
1101	f	45	4653	1991	9538	2000	30.97
1101	f	50	3579	1991	6496	2000	30.23
1101	f	55	2667	1991	4592	2000	32.17
1101	f	60	2182	1991	3479	2000	41.07
1101	f	65	1501	1991	2522	2000	43.95
1101	f	70	877	1991	1719	2000	47.58
1101	f	75	603	1991	1061	2000	45.40
1101	f	80	464	1991	1067	2000	85.54
1102	f	0	10593	1991	9283	2000	221.32
1102	f	1	42035	1991	38586	2000	50.76
1102	f	5	53228	1991	51350	2000	18.29
1102	f	10	51683	1991	51650	2000	20.97
1102	f	15	44806	1991	50748	2000	29.43
1102	f	20	37186	1991	44010	2000	30.17
1102	f	25	32942	1991	38869	2000	29.66
1102	f	30	27272	1991	34596	2000	31.90
1102	f	35	22026	1991	30075	2000	40.93
1102	f	40	16246	1991	24046	2000	38.33
1102	f	45	12410	1991	18639	2000	51.46
1102	f	50	9671	1991	13616	2000	54.36
1102	f	55	7533	1991	11051	2000	63.10
1102	f	60	5241	1991	8462	2000	76.42
1102	f	65	3439	1991	6067	2000	80.09
1102	f	70	1813	1991	3711	2000	76.14
1102	f	75	1116	1991	2162	2000	68.37
1102	f	80	849	1991	1795	2000	111.39
1201	f	0	2158	1991	2355	2000	50.85
1201	f	1	8178	1991	9851	2000	12.42
1201	f	5	10316	1991	11246	2000	3.12
1201	f	10	9321	1991	10505	2000	4.39
1201	f	15	6858	1991	9896	2000	5.60
1201	f	20	4962	1991	7441	2000	4.21
1201	f	25	3759	1991	5506	2000	5.28
1201	f	30	3175	1991	4271	2000	5.97
1201	f	35	2659	1991	3503	2000	4.77
1201	f	40	2147	1991	2846	2000	6.16
1201	f	45	1640	1991	2327	2000	7.19
1201	f	50	1303	1991	1793	2000	7.35
1201	f	55	900	1991	1734	2000	10.49
1201	f	60	896	1991	1203	2000	10.39
1201	f	65	597	1991	872	2000	10.25
1201	f	70	465	1991	669	2000	13.18
1201	f	75	328	1991	415	2000	17.05
1201	f	80	280	1991	512	2000	40.15
1202	f	0	4028	1991	5067	2000	114.72
1202	f	1	16112	1991	20625	2000	28.41
1202	f	5	20773	1991	24196	2000	7.34
1202	f	10	20227	1991	23189	2000	11.08
1202	f	15	16995	1991	23392	2000	15.43
1202	f	20	14216	1991	20945	2000	12.84
1202	f	25	12099	1991	16917	2000	17.84
1202	f	30	9884	1991	14572	2000	21.68
1202	f	35	8285	1991	12078	2000	17.34
1202	f	40	6208	1991	9952	2000	21.94
1202	f	45	4588	1991	7726	2000	24.39
1202	f	50	3491	1991	5801	2000	24.22
1202	f	55	2733	1991	4501	2000	31.19
1202	f	60	2206	1991	3418	2000	30.65
1202	f	65	1745	1991	2524	2000	32.41
1202	f	70	1126	1991	1994	2000	39.86
1202	f	75	824	1991	1262	2000	53.05
1202	f	80	662	1991	1439	2000	115.37
1301	f	0	1180	1991	1349	2000	12.23
1301	f	1	5531	1991	6195	2000	3.10
1301	f	5	6636	1991	7537	2000	1.11
1301	f	10	5797	1991	6664	2000	0.85
1301	f	15	4477	1991	5790	2000	1.27
1301	f	20	3533	1991	4640	2000	1.21
1301	f	25	2832	1991	3827	2000	1.23
1301	f	30	2721	1991	3001	2000	1.30
1301	f	35	2019	1991	2509	2000	1.66
1301	f	40	1786	1991	1737	2000	1.62
1301	f	45	1252	1991	1481	2000	1.83
1301	f	50	974	1991	1119	2000	2.04
1301	f	55	631	1991	1020	2000	2.62
1301	f	60	539	1991	790	2000	3.65
1301	f	65	454	1991	543	2000	3.57
1301	f	70	226	1991	345	2000	3.54
1301	f	75	103	1991	195	2000	2.80
1301	f	80	90	1991	221	2000	7.43
1302	f	0	3397	1991	4915	2000	42.08
1302	f	1	16024	1991	21454	2000	10.23
1302	f	5	19275	1991	24797	2000	3.50
1302	f	10	16370	1991	21508	2000	2.64
1302	f	15	11821	1991	18024	2000	3.76
1302	f	20	8627	1991	13724	2000	3.40
1302	f	25	7349	1991	10678	2000	3.31
1302	f	30	5982	1991	7836	2000	3.24
1302	f	35	4717	1991	7084	2000	4.46
1302	f	40	3797	1991	5142	2000	4.51
1302	f	45	2853	1991	3913	2000	4.61
1302	f	50	2274	1991	3002	2000	5.25
