"Data","Sex","method","cod","result"
"BR1","f","BH1","5101",7.41535588549319
"BR1","f","BH1","5102",1.44222015922157
"BR1","f","BH1","5103",0.580701973626005
"BR1","f","BH1","5104",1.78891793989481
"BR1","f","BH1","5105",0.859038823373403
"BR1","f","BH1","5201",0.453019089587318
"BR1","f","BH1","5202",0.502672845810325
"BR1","f","BH1","5203",1.09386363260416
"BR1","f","BH1","5204",1.77785891587577
"BR1","f","BH1","5205",0.779177627126856
"BR1","f","BH1","5301",1.01595170305309
"BR1","f","BH2","1101",0.945119571901426
"BR1","f","BH2","1102",0.879906542997465
"BR1","f","BH2","1201",1.11742358723258
"BR1","f","BH2","1202",1.14210397069669
"BR1","f","BH2","1301",0.142801281962256
"BR1","f","BH2","1302",0.173346147764457
"BR1","f","BH2","1303",0.983948306232885
"BR1","f","BH2","1304",0.298281187569283
"BR1","f","BH2","1401",0.791903254175721
"BR1","f","BH2","1402",0.387823493549813
"BR1","f","BH2","1501",0.9826264085645
"BR1","f","BH2","1502",0.883756360931004
"BR1","f","BH2","1503",1.11566437975529
"BR1","f","BH2","1504",0.851186916359286
"BR1","f","BH2","1505",0.501071637828539
"BR1","f","BH2","1506",0.549047609778331
"BR1","f","BH2","1601",0.184928184917732
"BR1","f","BH2","1602",0.970499866354224
"BR1","f","BH2","1701",0.486165906622065
"BR1","f","BH2","1702",0.755635345712158
"BR1","f","BH2","2101",0.795581081524201
"BR1","f","BH2","2102",0.480742914380915
"BR1","f","BH2","2103",0.481561731898227
"BR1","f","BH2","2104",0.526289682026138
"BR1","f","BH2","2105",0.334711541536551
"BR1","f","BH2","2201",0.761210178388356
"BR1","f","BH2","2202",0.747611730767043
"BR1","f","BH2","2203",0.332317782937707
"BR1","f","BH2","2204",0.440968180602453
"BR1","f","BH2","2301",0.448878447674164
"BR1","f","BH2","2302",0.613022155087182
"BR1","f","BH2","2303",0.907788864605574
"BR1","f","BH2","2304",0.423573100115029
"BR1","f","BH2","2305",0.91883859798696
"BR1","f","BH2","2306",0.720428400648989
"BR1","f","BH2","2307",0.568113286327153
"BR1","f","BH2","2401",0.86119288751804
"BR1","f","BH2","2402",1.02202097094254
