UF	AGE	POP_80	DEATH_80	POP_91	DEATH_91	POP_00	DEATH_00	POP_10	DEATH_10	
371	35	60	266562	7233	406883	9858	488217	11267	705940	13037
398	35	65	203162	8126	292274	10217	374521	12626	499180	13721
425	35	70	130736	8157	187391	9763	281136	13702	371655	15229
452	35	75	77895	7134	117728	9389	167939	12324	246532	15651
479	35	80	50748	8266	91357	12632	141691	18704	240219	29714
21	41	0	109389	5796	95180	2918	88304	1979	73642	1036
48	41	1	410541	1100	374367	441	363866	324	289470	164
75	41	5	503255	352	480234	223	471571	211	390883	114
102	41	10	501577	372	479408	248	475524	200	463552	183
129	41	15	455664	587	437820	620	480269	728	469762	1024
156	41	20	359834	799	405458	838	435587	992	451739	1432
183	41	25	294921	746	371851	919	391614	918	436675	1310
210	41	30	244399	769	318405	972	380946	1070	410438	1228
237	41	35	206914	965	274189	1028	354902	1281	384351	1367
264	41	40	189478	1152	228701	1243	300848	1510	372379	1632
291	41	45	153424	1349	183691	1417	250925	1735	336461	2027
318	41	50	128799	1552	153084	1713	203582	1996	282641	2468
345	41	55	96791	1688	124966	2064	158377	2299	231993	2844
372	41	60	70699	1832	103600	2328	130948	2924	180838	3114
399	41	65	55879	2201	74698	2591	99638	3259	133729	3591
426	41	70	34998	2169	48352	2549	71611	3521	99314	4051
453	41	75	20192	1986	30770	2377	42857	3165	64121	4056
480	41	80	12044	1993	23040	3105	36051	4780	59006	7167
22	42	0	51813	2171	51486	1139	47189	858	41376	489
49	42	1	186705	313	204525	193	195128	138	165559	98
76	42	5	223809	160	260852	125	258544	88	222981	57
103	42	10	231188	152	249138	140	267774	116	264941	85
130	42	15	228393	287	223951	290	272053	307	276177	351
157	42	20	189202	349	219151	466	241027	429	287316	574
184	42	25	151491	301	216397	456	220211	455	286179	512
211	42	30	120734	315	188928	452	222058	558	256324	548
238	42	35	94457	333	156328	508	217384	660	234504	679
265	42	40	83374	419	128302	561	182525	744	230018	877
292	42	45	67625	504	94661	596	149640	908	216576	1127
319	42	50	58476	636	77414	795	116298	1048	179383	1386
346	42	55	46518	763	62315	962	85132	1240	143895	1604
373	42	60	34959	838	51953	1191	67836	1516	106909	1766
400	42	65	26933	927	38199	1270	50300	1625	73382	1890
427	42	70	16780	1048	25489	1308	36101	1845	52332	2125
454	42	75	10188	920	15335	1181	22161	1679	32789	2058
481	42	80	6428	1009	11290	1633	17950	2410	29719	3601
23	43	0	94171	4036	91577	2003	87342	1473	65097	828
50	43	1	348805	639	364082	354	348563	247	262504	141
77	43	5	410637	267	482426	209	451586	160	368967	102
104	43	10	426990	306	460999	252	464250	185	438629	148
131	43	15	444170	678	403599	657	490399	644	442405	650
158	43	20	392258	805	392953	970	430584	887	437737	965
185	43	25	330796	757	405167	971	382084	965	445502	1049
212	43	30	275089	716	376713	1063	385037	1095	398879	1028
239	43	35	226213	867	329311	1211	397068	1306	366041	1059
266	43	40	203755	1176	280102	1463	358269	1743	369087	1543
293	43	45	174226	1572	218636	1729	304887	2044	372803	2222
320	43	50	152283	1937	183412	2124	250230	2611	332590	2843
347	43	55	117876	2232	153606	2792	190359	2960	277346	3546
374	43	60	92008	2580	129976	3389	153901	3690	217076	3971
401	43	65	71159	2913	92332	3369	119276	4148	155838	4401
428	43	70	44942	2864	63035	3470	85905	4388	112895	4817
455	43	75	26581	2592	38946	3294	51275	3896	73926	4763
482	43	80	17372	2924	29173	4137	43704	5904	67735	8482
24	50	0	21208	922	21382	558	20066	534	19635	345
51	50	1	78910	174	85497	109	83620	119	77925	78
78	50	5	94458	54	110184	65	109491	39	101158	34
105	50	10	88717	57	106061	68	110590	59	112951	46
132	50	15	83191	125	92703	155	110272	194	114096	215
159	50	20	67289	146	84419	182	97269	254	111249	314
186	50	25	54508	136	79779	202	85429	263	108088	277
213	50	30	44437	140	68704	248	80256	236	99182	292
240	50	35	37520	168	57384	252	75950	289	89391	288
267	50	40	34879	182	46815	242	63755	285	82858	405
294	50	45	27378	200	36952	257	51870	352	75530	491
321	50	50	22552	193	30735	283	41067	421	62386	538
348	50	55	16518	216	24031	348	31621	483	49914	614
375	50	60	12534	224	19416	393	26858	571	37575	680
402	50	65	10079	298	14329	432	20059	573	28408	750
429	50	70	5881	267	9429	389	14325	590	21656	922
456	50	75	3503	257	6336	395	8932	577	13970	852
483	50	80	2124	250	4879	543	8594	973	13956	1562
25	51	0	19389	297	25667	410	24950	644	24440	430
52	51	1	72135	131	103564	112	104905	101	99654	84
79	51	5	83167	39	132511	50	136535	73	129969	41
106	51	10	74456	25	126720	58	139526	63	144212	61
133	51	15	65862	62	113443	170	138844	256	144304	277
160	51	20	58035	77	104068	227	126882	370	145628	433
187	51	25	47463	87	96124	286	112339	371	144201	403
214	51	30	37976	86	81550	245	105343	366	133907	425
241	51	35	31721	99	66185	247	96018	418	119062	392
268	51	40	27764	103	52808	247	79256	420	109049	488
295	51	45	21005	99	40671	259	61567	429	95223	587
322	51	50	16928	99	32699	314	47679	453	77106	656
349	51	55	12258	101	24442	280	36157	428	58913	703
376	51	60	9821	110	18880	298	28335	585	43308	763
403	51	65	7677	144	12788	291	20294	577	31533	772
430	51	70	4097	148	8200	284	13565	565	22522	861
457	51	75	2373	113	5238	317	7810	512	13858	807
484	51	80	1444	106	3670	401	7182	761	12647	1336
26	52	0	46897	1487	44481	935	47233	861	43956	604
53	52	1	177408	307	181458	185	198948	149	178818	130
80	52	5	210162	139	237332	125	248159	101	241633	92
107	52	10	201933	126	239657	130	252690	123	269952	130
134	52	15	185791	256	219107	305	260633	407	268462	539
161	52	20	154070	381	200429	468	249699	595	279238	859
188	52	25	125207	372	180533	512	220783	571	277270	812
215	52	30	101443	374	153351	494	205312	587	262570	788
242	52	35	87340	395	129688	475	184163	629	232644	821
269	52	40	78270	462	106553	559	152114	773	211499	866
296	52	45	59741	463	84738	565	123061	822	181350	1013
323	52	50	48337	463	68912	670	98359	899	148258	1225
350	52	55	36160	536	53846	758	75465	975	117043	1410
377	52	60	26859	529	42121	851	61916	1183	90235	1497
404	52	65	20537	563	30998	859	45253	1185	67274	1657
431	52	70	12841	653	19663	840	31511	1273	49891	1836
458	52	75	7483	513	12739	732	19469	1086	31327	1805
485	52	80	4331	481	9899	1155	17670	1715	30207	3273
27	53	0	20305	906	18083	524	21006	362	19047	300
54	53	1	68411	148	70413	80	81623	80	76891	40
81	53	5	69784	58	92955	44	96131	43	101824	27
108	53	10	64630	49	91055	62	95349	38	110597	42
135	53	15	64098	105	80098	164	107553	224	108791	216
162	53	20	62929	159	85046	269	110797	304	120373	277
189	53	25	54872	148	76198	274	96084	265	127512	273
216	53	30	43537	146	59789	207	85380	281	118507	282
243	53	35	33907	154	50953	206	72940	299	100047	272
270	53	40	30590	144	41619	238	57887	255	88786	306
297	53	45	20522	150	30725	227	46990	312	72525	390
324	53	50	15300	152	25734	259	35933	320	55965	377
351	53	55	10086	174	17301	253	24967	338	43033	418
378	53	60	6131	169	12043	252	19995	392	30889	455
405	53	65	4396	161	7748	265	12188	395	21160	473
432	53	70	2187	146	4257	231	8223	369	15759	549
459	53	75	1162	101	2615	220	4559	335	8885	504
486	53	80	573	96	1918	295	3751	479	8289	994
