cod	sex	age	pop1	year1	pop2	year2	death
1101	f	0	5515	2000	5095	2010	121.98
1101	f	1	21975	2000	20939	2010	19.89
1101	f	5	27266	2000	27681	2010	10.15
1101	f	10	27614	2000	30503	2010	11.11
1101	f	15	26532	2000	30010	2010	20.36
1101	f	20	24118	2000	30401	2010	21.67
1101	f	25	21070	2000	29513	2010	22.69
1101	f	30	19030	2000	26699	2010	32.35
1101	f	35	16447	2000	22525	2010	35.22
1101	f	40	12890	2000	19549	2010	34.63
1101	f	45	9538	2000	16475	2010	49.64
1101	f	50	6496	2000	12953	2010	53.09
1101	f	55	4592	2000	9260	2010	52.92
1101	f	60	3479	2000	6322	2010	60.04
1101	f	65	2522	2000	4132	2010	65.21
1101	f	70	1719	2000	2956	2010	76.61
1101	f	75	1061	2000	1909	2010	73.26
1101	f	80	1067	2000	2000	2010	162.85
1102	f	0	9283	2000	7210	2010	135.26
1102	f	1	38586	2000	29830	2010	22.63
1102	f	5	51350	2000	40937	2010	12.06
1102	f	10	51650	2000	46115	2010	13.53
1102	f	15	50748	2000	47189	2010	25.37
1102	f	20	44010	2000	44161	2010	25.30
1102	f	25	38869	2000	43377	2010	26.77
1102	f	30	34596	2000	39884	2010	38.30
1102	f	35	30075	2000	36075	2010	43.32
1102	f	40	24046	2000	31666	2010	43.30
1102	f	45	18639	2000	26947	2010	63.74
1102	f	50	13616	2000	21663	2010	70.95
1102	f	55	11051	2000	17048	2010	79.39
1102	f	60	8462	2000	12220	2010	93.21
1102	f	65	6067	2000	9354	2010	110.56
1102	f	70	3711	2000	6585	2010	123.21
1102	f	75	2162	2000	4331	2010	117.90
1102	f	80	1795	2000	3738	2010	217.11
1201	f	0	2355	2000	2487	2010	46.51
1201	f	1	9851	2000	10715	2010	11.25
1201	f	5	11246	2000	13753	2010	4.31
1201	f	10	10505	2000	13899	2010	3.72
1201	f	15	9896	2000	11278	2010	5.93
1201	f	20	7441	2000	9262	2010	6.16
1201	f	25	5506	2000	8696	2010	7.52
1201	f	30	4271	2000	6939	2010	7.00
1201	f	35	3503	2000	5527	2010	6.61
1201	f	40	2846	2000	4205	2010	7.63
1201	f	45	2327	2000	3347	2010	8.95
1201	f	50	1793	2000	2875	2010	10.49
1201	f	55	1734	2000	2222	2010	15.14
1201	f	60	1203	2000	1690	2010	16.06
1201	f	65	872	2000	1505	2010	16.01
1201	f	70	669	2000	954	2010	15.98
1201	f	75	415	2000	656	2010	19.09
1201	f	80	512	2000	801	2010	56.29
1202	f	0	5067	2000	4658	2010	101.10
1202	f	1	20625	2000	20030	2010	24.04
1202	f	5	24196	2000	26397	2010	9.57
1202	f	10	23189	2000	29361	2010	8.72
1202	f	15	23392	2000	27265	2010	15.51
1202	f	20	20945	2000	25885	2010	18.83
1202	f	25	16917	2000	25353	2010	24.49
1202	f	30	14572	2000	23038	2010	25.57
1202	f	35	12078	2000	18414	2010	24.47
1202	f	40	9952	2000	15783	2010	30.02
1202	f	45	7726	2000	12369	2010	33.70
1202	f	50	5801	2000	10161	2010	39.18
1202	f	55	4501	2000	8017	2010	52.12
1202	f	60	3418	2000	5817	2010	57.19
1202	f	65	2524	2000	4359	2010	51.00
1202	f	70	1994	2000	3046	2010	54.14
1202	f	75	1262	2000	2036	2010	64.01
1202	f	80	1439	2000	2435	2010	180.41
1301	f	0	1349	2000	1607	2010	21.20
1301	f	1	6195	2000	6238	2010	5.48
1301	f	5	7537	2000	7673	2010	2.08
1301	f	10	6664	2000	7755	2010	1.96
1301	f	15	5790	2000	6597	2010	2.82
1301	f	20	4640	2000	5691	2010	2.64
1301	f	25	3827	2000	4725	2010	2.79
1301	f	30	3001	2000	3869	2010	3.21
1301	f	35	2509	2000	2997	2010	3.22
1301	f	40	1737	2000	2489	2010	3.69
1301	f	45	1481	2000	2020	2010	4.41
1301	f	50	1119	2000	1524	2010	4.93
1301	f	55	1020	2000	1330	2010	6.12
1301	f	60	790	2000	1162	2010	8.37
1301	f	65	543	2000	867	2010	8.70
1301	f	70	345	2000	566	2010	9.64
1301	f	75	195	2000	356	2010	8.29
1301	f	80	221	2000	421	2010	23.29
1302	f	0	4915	2000	4739	2010	65.24
1302	f	1	21454	2000	20021	2010	17.05
1302	f	5	24797	2000	23913	2010	6.19
1302	f	10	21508	2000	22856	2010	5.55
1302	f	15	18024	2000	19869	2010	7.97
1302	f	20	13724	2000	16671	2010	7.20
1302	f	25	10678	2000	13738	2010	7.40
1302	f	30	7836	2000	11479	2010	8.41
1302	f	35	7084	2000	8924	2010	8.69
1302	f	40	5142	2000	7016	2010	9.84
1302	f	45	3913	2000	5575	2010	11.07
1302	f	50	3002	2000	4119	2010	12.29
1302	f	55	2645	2000	3418	2010	14.63
1302	f	60	2115	2000	2624	2010	18.86
1302	f	65	1481	2000	2252	2010	21.31
1302	f	70	929	2000	1566	2010	24.41
1302	f	75	594	2000	959	2010	21.46
1302	f	80	692	2000	1102	2010	59.53
1303	f	0	27758	2000	26786	2010	522.73
1303	f	1	111888	2000	107343	2010	126.32
1303	f	5	130862	2000	139356	2010	47.57
1303	f	10	124370	2000	148792	2010	46.79
1303	f	15	129999	2000	140217	2010	77.87
1303	f	20	117194	2000	134044	2010	81.65
