cod	sex	age	pop1	year1	pop2	year2	death
1303	f	70	3888	1980	5927	1991	148.20
1303	f	75	2427	1980	4230	1991	171.78
1303	f	80	1567	1980	3856	1991	326.49
1304	f	0	3743	1980	3051	1991	34.16
1304	f	1	12765	1980	15003	1991	8.50
1304	f	5	13286	1980	19596	1991	2.17
1304	f	10	10980	1980	16954	1991	1.35
1304	f	15	8366	1980	11768	1991	2.27
1304	f	20	6244	1980	8248	1991	1.97
1304	f	25	5079	1980	7323	1991	2.29
1304	f	30	4100	1980	6162	1991	2.02
1304	f	35	3568	1980	5053	1991	2.82
1304	f	40	2927	1980	3881	1991	2.52
1304	f	45	2175	1980	2993	1991	3.09
1304	f	50	1572	1980	2354	1991	3.06
1304	f	55	1225	1980	1603	1991	3.31
1304	f	60	861	1980	1247	1991	3.30
1304	f	65	780	1980	1006	1991	4.08
1304	f	70	504	1980	649	1991	5.13
1304	f	75	293	1980	434	1991	5.59
1304	f	80	120	1980	387	1991	8.96
1401	f	0	1237	1980	2287	1991	57.33
1401	f	1	4507	1980	9421	1991	13.76
1401	f	5	4684	1980	11585	1991	3.66
1401	f	10	4097	1980	10186	1991	4.71
1401	f	15	3943	1980	9098	1991	6.18
1401	f	20	3308	1980	8329	1991	7.39
1401	f	25	2719	1980	7638	1991	10.50
1401	f	30	1976	1980	6122	1991	4.81
1401	f	35	1390	1980	4618	1991	7.66
1401	f	40	1168	1980	3154	1991	5.61
1401	f	45	876	1980	2054	1991	5.16
1401	f	50	860	1980	1612	1991	3.27
1401	f	55	525	1980	1168	1991	5.10
1401	f	60	394	1980	959	1991	7.43
1401	f	65	327	1980	782	1991	5.19
1401	f	70	160	1980	417	1991	7.53
1401	f	75	100	1980	273	1991	8.74
1401	f	80	83	1980	282	1991	16.95
1402	f	0	260	1980	562	1991	2.81
1402	f	1	968	1980	2304	1991	0.91
1402	f	5	868	1980	3003	1991	0.26
1402	f	10	679	1980	2509	1991	0.26
1402	f	15	497	1980	1717	1991	0.39
1402	f	20	471	1980	1417	1991	0.29
1402	f	25	408	1980	1466	1991	0.60
1402	f	30	338	1980	1136	1991	0.23
1402	f	35	252	1980	940	1991	0.34
1402	f	40	213	1980	668	1991	0.37
1402	f	45	137	1980	516	1991	0.30
1402	f	50	179	1980	386	1991	0.17
1402	f	55	128	1980	250	1991	0.30
1402	f	60	82	1980	211	1991	0.49
1402	f	65	86	1980	140	1991	0.26
1402	f	70	12	1980	86	1991	0.29
1402	f	75	11	1980	50	1991	0.45
1402	f	80	1	1980	40	1991	0.63
1501	f	0	9560	1980	8475	1991	225.51
1501	f	1	33747	1980	34519	1991	62.77
1501	f	5	36789	1980	44055	1991	16.25
1501	f	10	31356	1980	40985	1991	11.51
1501	f	15	25143	1980	31207	1991	17.72
1501	f	20	18461	1980	22188	1991	17.50
1501	f	25	14650	1980	18695	1991	15.92
1501	f	30	11088	1980	15927	1991	17.61
1501	f	35	9983	1980	13726	1991	22.06
1501	f	40	7978	1980	10341	1991	21.99
